problem_name,status,total_execution_time,terminal_objective_value,total_function_evaluation,total_gradient_evaluation,total_hessian_evaluation,total_factorization_evaluation
OSCIGRAD,OPTIMAL,1.326395034790039,6.275880095745307e-24,12,11,10,33
OSCIPATH,OPTIMAL,0.16678595542907715,0.9999666655201663,3,3,2,4
PATTERNLS,OPTIMAL,350.05742597579956,1.3050942748562515e-8,64,47,42,447
PENALTY1,OPTIMAL,3.1228129863739014,0.009686175432452086,52,44,41,71
PENALTY2,OPTIMAL,0.03140711784362793,4.711627727552183e13,11,11,10,10
PENALTY3,OPTIMAL,0.3855099678039551,0.000997138977050878,24,16,15,159
POWELLSG,OPTIMAL,0.18667888641357422,4.2185697780289144e-8,19,19,18,18
POWER,OPTIMAL,427.27115297317505,2.170303760844304e-11,38,38,37,37
QING,OPTIMAL,0.1666851043701172,3.3722710830021684e-22,23,14,13,137
QUARTC,OPTIMAL,0.22216510772705078,1.5463203490974303e-7,36,36,35,128
SBRYBND,OPTIMAL,0.44672107696533203,1.5990421652598373e-12,26,19,18,187
SCHMVETT,OPTIMAL,0.18888401985168457,-14994.0,5,5,4,9
SCOSINE,TRUST_REGION_SUBPROBLEM_ERROR,2.4209060668945312,-4948.547409571221,282,280,268,3245
SCURLY10,OPTIMAL,4.964350938796997,-1.0031629024131879e6,139,88,87,1091
SCURLY20,OPTIMAL,10.59347915649414,-1.0031629024131879e6,134,89,88,998
SCURLY30,OPTIMAL,17.217164039611816,-1.0031629024131879e6,118,79,78,903
SENSORS,OPTIMAL,0.18745708465576172,-1944.0,46,39,37,342
SINQUAD,OPTIMAL,0.263577938079834,-6.7570137573351655e6,27,19,15,158
SINQUAD2,OPTIMAL,0.7142000198364258,5.76956997763834e-6,120,82,67,721
SPARSINE,OPTIMAL,205.5345368385315,5.265872027245026e-15,68,53,43,624
SPARSQUR,OPTIMAL,39.902092933654785,4.488230635883866e-9,23,23,22,22
SPIN2LS,OPTIMAL,0.1655559539794922,3.769788759415419e-10,32,19,16,319
SPINLS,OPTIMAL,6.422882080078125,2.218107421862407e-9,50,39,37,251
SPMSRTLS,OPTIMAL,0.3636140823364258,1.0244963617684519e-12,26,14,13,202
SROSENBR,OPTIMAL,0.19543194770812988,5.2963441280546616e-20,23,17,16,55
SSBRYBND,OPTIMAL,0.3910801410675049,9.160536576312345e-14,23,17,15,134
SSCOSINE,OPTIMAL,1.5218939781188965,-4973.891912530986,178,174,166,2102
TOINTGSS,OPTIMAL,0.16524791717529297,9.999999999860112,2,2,1,1
TQUARTIC,OPTIMAL,0.2019948959350586,5.442141050671967e-17,13,11,10,58
TRIDIA,OPTIMAL,0.1803879737854004,3.6747109496709487e-25,3,3,2,11
VARDIM,OPTIMAL,0.05992603302001953,2.533290225573063e-24,30,30,29,29
VAREIGVL,OPTIMAL,58.58286499977112,1.176343670022097e-9,20,16,15,39
WOODS,OPTIMAL,0.2920570373535156,1.1725554539495478e-25,73,47,45,278
YATP1CLS,TIME_LIMIT,18000.0,NaN,200000,200000,200000,200000
YATP1LS,TIME_LIMIT,18000.0,NaN,200000,200000,200000,200000
YATP2CLS,TIME_LIMIT,18000.0,NaN,200000,200000,200000,200000
