problem_name,status,total_execution_time,terminal_objective_value,total_function_evaluation,total_gradient_evaluation,total_hessian_evaluation,total_factorization_evaluation
LUKSAN21LS,OPTIMAL,0.16927695274353027,8.103613224481873e-15,25,18,17,143
LUKSAN22LC,OPTIMAL,0.16215991973876953,873.9404775269422,21,19,17,49
LUKSAN22LS,OPTIMAL,0.16225290298461914,868.9404775269423,21,19,17,49
MANCINO,OPTIMAL,0.14049911499023438,1.3523175169020244e-21,20,14,12,169
MODBEALE,OPTIMAL,0.2834298610687256,2.8610197559381826e-15,8,8,7,10
MOREBV,OPTIMAL,0.02031421661376953,1.0395423971692418e-11,1,1,1,0
MSQRTALS,OPTIMAL,12.654705047607422,2.1080271148257418e-13,76,49,42,657
MSQRTBLS,OPTIMAL,10.366384029388428,9.069349297859168e-17,67,44,40,496
NCB20,OPTIMAL,5.053002119064331,-1458.169030766909,133,75,74,1067
NCB20B,OPTIMAL,0.9924788475036621,7351.300584946281,26,22,18,150
NONCVXU2,OPTIMAL,5210.172926187515,11584.621742869305,4175,2311,2272,35163
NONCVXUN,OPTIMAL,98.50189399719238,11598.215705593651,3916,2153,2118,33080
NONDIA,OPTIMAL,0.1849379539489746,5.525858831180112e-17,7,7,6,23
NONDQUAR,OPTIMAL,0.3273169994354248,4.959329467600691e-6,34,27,24,188
NONMSQRT,STEP_SIZE_LIMIT,1674.3631930351257,708.6167668052174,9012,8995,8967,59334
OSCIGRAD,OPTIMAL,1.319540023803711,1.4894155569554545e-23,12,11,10,32
OSCIPATH,OPTIMAL,0.1672520637512207,0.9999666655201663,3,3,2,4
PATTERNLS,OPTIMAL,465.5683979988098,7.26495562274826e-8,75,56,53,515
PENALTY1,OPTIMAL,4.321656942367554,0.00968617567741085,54,46,45,163
PENALTY2,OPTIMAL,0.03125,4.711627727552183e13,11,11,10,10
PENALTY3,OPTIMAL,0.42117810249328613,0.0009990463256835938,23,18,17,114
POWELLSG,OPTIMAL,0.18772196769714355,4.2185697780289144e-8,19,19,18,18
POWER,OPTIMAL,418.48841404914856,2.170303760844304e-11,38,38,37,37
QING,OPTIMAL,0.16712093353271484,4.461145522888903e-15,20,16,13,118
QUARTC,OPTIMAL,0.2232069969177246,1.5463203490974303e-7,36,36,35,128
SBRYBND,OPTIMAL,0.39449095726013184,1.7706959917968645e-15,22,19,18,121
SCHMVETT,OPTIMAL,0.18709492683410645,-14994.0,5,5,4,9
SCOSINE,OPTIMAL,1.9713950157165527,-4950.192318635476,279,274,265,2986
SCURLY10,OPTIMAL,4.9049670696258545,-1.0031629024131879e6,142,106,104,1000
SCURLY20,OPTIMAL,10.614398956298828,-1.0031629024131879e6,130,100,99,878
SCURLY30,OPTIMAL,16.35892105102539,-1.0031629024131879e6,113,90,89,770
SENSORS,OPTIMAL,0.14872193336486816,-1966.78125,36,32,27,264
SINQUAD,OPTIMAL,0.21365904808044434,-6.757013757334937e6,14,12,10,61
SINQUAD2,OPTIMAL,0.9948151111602783,1.540759676417972e-6,159,121,116,1093
SPARSINE,OPTIMAL,173.478688955307,1.675622706071759e-11,56,47,44,509
SPARSQUR,OPTIMAL,40.188563108444214,4.488230635883866e-9,23,23,22,22
SPIN2LS,OPTIMAL,0.12645602226257324,1.0210869067472566e-13,14,13,12,80
SPINLS,OPTIMAL,6.313803195953369,9.964935546577865e-8,43,36,34,242
SPMSRTLS,OPTIMAL,0.4084460735321045,4.8099196566194625e-18,36,24,22,238
SROSENBR,OPTIMAL,0.2079300880432129,4.435567654831444e-27,22,18,17,88
