configuration,result_label,shifted_geomean_execution_time,shifted_geomean_function_evaluations,shifted_geomean_gradient_evaluations,shifted_geomean_hessian_evaluations
"original","original",8.870985066927107,106.35131709578788,80.07579472739485,73.52986667604392
"rho-hat-rule","ρ_hat_rule",9.048219441707948,109.02702041272026,81.88933281668334,74.39942671956508
"radius-update-rule","radius_update_rule",8.376769975869918,99.140564851493,81.0554124423777,74.5529518772292
"b-k-zero","b_k=0.0",8.866682360975918,106.65475184151366,78.32304140091529,73.52986667604392
"initial-radius","initial_radius",9.071399024791894,112.57682318927435,85.95729262877644,79.62374501083207
"conference-subproblem-solver","conference_subproblem_solver",37.60452256436491,216.61333384711995,162.536295137513,150.30543570983204
