problem_name,status,total_execution_time,total_iterations_count,function_value,graient_value,total_function_evaluation,total_gradient_evaluation,total_hessian_evaluation,total_factorization_evaluation
SINEVAL,SUCCESS,0.028380156,90,2.43E-18,2.01E-08,91,91,62,747
SISSER,SUCCESS,0.000926971,12,1.07E-08,5.52E-06,13,13,12,12
SNAIL,SUCCESS,0.041167974,136,3.66E-13,1.21E-06,137,137,92,1087
SPIN2LS,SUCCESS,5.00067091,20,5.03E-15,2.65E-06,21,21,11,845
SSI,SUCCESS,0.368063927,1354,1.31E-05,9.98E-06,1355,1355,1341,12147
STRATEC,SUCCESS,63.06096888,33,2212.262291,2.73E-06,34,34,26,286
STREG,SUCCESS,0.00733304,34,6.60E-19,3.57E-08,35,35,30,259
STRTCHDV,SUCCESS,0.012383223,14,3.65E-09,4.37E-06,15,15,12,204
TOINTQOR,SUCCESS,0.01058507,3,1175.472222,3.35E-14,4,4,3,33
TRIGON1,SUCCESS,0.011332989,17,1.58E-13,1.97E-06,18,18,11,175
VANDANMSLS,SUCCESS,0.006603956,5,9.618093902,5.34E-06,6,6,5,79
VESUVIOLS,SUCCESS,0.149311066,32,991.4100029,1.78E-07,33,33,26,446
VESUVIOULS,SUCCESS,0.120974064,27,0.477113769,3.19E-08,28,28,22,344
VIBRBEAM,SUCCESS,0.069953918,79,0.156446071,5.27E-09,80,80,66,990
WATSON,SUCCESS,0.018841028,12,7.63E-08,5.46E-06,13,13,11,198
WAYSEA1,SUCCESS,0.00077486,14,2.69E-15,1.37E-06,15,15,14,14
YFITU,SUCCESS,0.031887054,112,6.67E-13,1.24E-10,113,113,106,1048
ZANGWIL2,SUCCESS,0.000344992,2,-18.20000001,0,3,3,2,7
