problem_name,status,status_code,total_execution_time,total_iterations_count,function_value,gradient_value,total_function_evaluation,total_gradient_evaluation,total_hessian_evaluation,total_factorization_evaluation
PALMER3C,OPTIMAL,0,0,1,0.02,0.00,2,2,1,2
ELATVIDU,OPTIMAL,0,0,11,54.75,0.00,12,12,11,11
TOINTQOR,OPTIMAL,0,0,1,1175.47,0.00,2,2,1,2
ROSZMAN1LS,OPTIMAL,0,0,29,0.04,0.00,30,24,23,174
WATSON,OPTIMAL,0,0,20,0.00,0.00,21,17,16,140
GAUSSIAN,OPTIMAL,0,0,1,0.00,0.00,2,2,1,2
GENROSE,OPTIMAL,0,5.00000054,433,1.00,0.00,434,356,355,1813
MISRA1CLS,OPTIMAL,0,0,18,0.04,0.00,19,15,14,32
DENSCHNE,OPTIMAL,0,0,11,0.00,0.00,12,11,10,24
OSBORNEB,OPTIMAL,0,0,22,0.04,0.00,23,19,18,73
CLIFF,OPTIMAL,0,0,27,0.20,0.00,28,28,27,126
STRTCHDV,OPTIMAL,0,0,10,0.00,0.00,11,8,7,184
HEART6LS,ITERATION_LIMIT,-18,18000,100001,0.43,0.01,200001,200001,200001,200001
LOGHAIRY,OPTIMAL,0,1.000000234,2482,0.18,0.00,2483,2433,2432,8181
CERI651BLS,OPTIMAL,0,0,103,95.90,0.00,104,96,95,656
CUBE,OPTIMAL,0,0,37,0.00,0.00,38,31,30,78
MNISTS0LS,FAILURE,-17,18000,263,451.78,35.24,200001,200001,200001,200001
EG2,FAILURE,-82,18000,71076,-998.95,0.00,200001,200001,200001,200001
