problem_name,status,total_execution_time,function_value,gradient_value,total_function_evaluation,total_gradient_evaluation,total_hessian_evaluation,total_factorization_evaluation
FMINSRF2,OPTIMAL,16.827285051345825,0.9999999973720705,5.946894458015141e-8,82,47,42,1056
FMINSURF,OPTIMAL,8290.48064994812,0.999999997372057,1.1259925200354095e-9,86,48,43,1083
FREUROTH,OPTIMAL,0.12051987648010254,608159.1890463781,1.513235561474718e-11,8,8,7,19
GENHUMPS,OPTIMAL,2078.3610520362854,5.767054538947288e-13,4.802938924680944e-7,31867,30635,29312,598467
GENROSE,OPTIMAL,11.545608043670654,1.0,8.727421792852036e-8,940,432,431,12406
INDEF,ITERATION_LIMIT,847.0182068347931,-7.093219872239266e14,70.7107412307708,100001,100001,100000,400099
INDEFM,OPTIMAL,11.381131172180176,-1.0049998383487852e7,2.6054644050370037e-10,12,12,11,123
INTEQNELS,OPTIMAL,8.277026176452637,1.4865364093668006e-20,3.0128496689001103e-10,4,4,3,3
JIMACK,OPTIMAL,25.391145944595337,0.8667932957335753,1.2365437403673948e-7,35,22,20,422
KSSLS,OPTIMAL,468.5648031234741,1.2832692889070697e-20,2.259747933622309e-7,9,9,8,8
LIARWHD,OPTIMAL,0.0484929084777832,6.3807754778159845e-22,4.06520854526598e-9,13,13,12,12
LUKSAN11LS,OPTIMAL,1.810600996017456,4.504872274180489e-19,1.1911476615593525e-8,558,391,381,2995
LUKSAN15LS,OPTIMAL,0.07171893119812012,3.5696968772267033,3.2998852343387266e-7,13,7,6,155
LUKSAN16LS,OPTIMAL,0.05133795738220215,3.5696968772267037,2.7227783090690854e-10,11,9,7,103
LUKSAN17LS,OPTIMAL,0.036322832107543945,0.49316129032259354,8.246660874430404e-8,18,18,17,64
LUKSAN21LS,OPTIMAL,0.26750993728637695,3.825778358174224e-10,5.278535172935567e-6,32,17,16,412
LUKSAN22LS,OPTIMAL,0.03659200668334961,868.940477526942,2.2769639096851358e-7,24,18,17,69
MANCINO,OPTIMAL,0.6012589931488037,1.850388489996918e-21,1.204018102874837e-7,22,13,12,242
MNISTS0LS,OPTIMAL,941.074826002121,296.0000072837966,5.171311559741225e-6,48,34,33,404
EIGENCLS,OPTIMAL,15145.656992912292,9.47985550745698e-17,3.857180279403195e-7,1063,554,507,14484
MNISTS5LS,OPTIMAL,1462.542531967163,1368.0011387711288,8.729895641113617e-6,101,61,58,1394
MODBEALE,OPTIMAL,0.17879796028137207,1.0929188444353326e-11,4.150116645256834e-6,7,7,6,12
MOREBV,OPTIMAL,0.08615708351135254,9.361885867698311e-12,1.0652559284938972e-10,3,3,2,21
MSQRTALS,OPTIMAL,81.12323498725891,9.355136627902242e-18,3.5024969978117435e-10,61,31,28,749
MSQRTBLS,OPTIMAL,72.77718305587769,7.126698235783085e-13,4.23237078418652e-6,57,29,27,655
NCB20,OPTIMAL,45.79453802108765,-1458.0284899554322,2.97842326294314e-8,146,69,68,2459
NCB20B,OPTIMAL,6.415619134902954,7351.300589737231,3.3025308045540697e-6,29,18,15,358
NONCVXU2,OPTIMAL,10645.547656059265,11584.586450616745,1.4706845986625453e-7,4360,2003,1960,75643
NONCVXUN,OPTIMAL,908.9933938980103,11599.518646578717,9.989172675774496e-6,4984,2676,2633,77877
NONDIA,OPTIMAL,0.03606295585632324,1.0801927093048891e-21,4.259864250826765e-8,6,6,5,25
NONDQUAR,OPTIMAL,0.06676697731018066,1.0477928362781354e-9,6.195975628824408e-6,19,19,18,23
NONMSQRT,STEP_SIZE_LIMIT,5545.861029148102,708.6086236143201,0.006055431666430831,12514,12465,12085,51626
OSCIGRAD,OPTIMAL,7.119935035705566,8.45757260245105e-24,7.509208063281059e-8,12,11,10,82
OSCIPATH,OPTIMAL,0.004621982574462891,0.9999666655201663,2.8608035251631506e-12,3,3,2,13
PENALTY1,OPTIMAL,11.00757908821106,0.009686175434453414,4.861081963279064e-7,53,45,41,107
PENALTY2,OPTIMAL,0.031991004943847656,4.711627728753194e13,6.377680365889048e-8,11,11,10,10
PENALTY3,OPTIMAL,1.3922078609466553,0.0009992847442626953,2.8338162543033506e-6,33,17,16,241
POWELLSG,OPTIMAL,0.04266095161437988,4.2185697780289144e-8,4.957660696485648e-6,19,19,18,18
POWER,OPTIMAL,1086.0229380130768,2.1703037608442954e-11,3.284094240283515e-6,38,38,37,37
QING,OPTIMAL,0.10004711151123047,6.830965670891804e-17,1.141342074042737e-7,19,12,11,228
QUARTC,OPTIMAL,0.1322460174560547,1.388980766566187e-7,4.325351826469973e-6,36,36,35,145
SBRYBND,OPTIMAL,18.396167039871216,2.3833031604380625e-32,1.3411644135905026e-10,167,79,78,2835
SCHMVETT,OPTIMAL,0.1072530746459961,-14994.0,1.9684619844374964e-6,5,5,4,16
SCOSINE,STEP_SIZE_LIMIT,23.951090097427368,-4957.203685486648,0.00010018149244745877,376,349,328,7984
SENSORS,OPTIMAL,0.7279489040374756,-1944.0,2.18178334089062e-9,32,30,25,467
SINQUAD,OPTIMAL,0.7082231044769287,-6.757013757335344e6,2.0461962643316874e-8,21,15,14,225
SPARSINE,OPTIMAL,247.27776503562927,6.118654662749157e-20,7.8625146199193e-10,65,49,39,967
SPARSQUR,OPTIMAL,30.12457799911499,4.488230635883866e-9,2.9634278042352566e-6,23,23,22,22
SPIN2LS,OPTIMAL,2.554903984069824,3.671929574137021e-14,1.4057392930975535e-6,100,63,56,1613
SPINLS,OPTIMAL,57.41215896606445,6.444824716270782e-14,8.658834829832287e-11,106,73,61,1194
SPMSRTLS,OPTIMAL,1.9304990768432617,1.9166626494037416e-15,2.0551347485988503e-8,34,19,18,384
SROSENBR,OPTIMAL,0.11292505264282227,5.905684893496796e-25,2.363794278420208e-11,13,11,9,35
SSBRYBND,OPTIMAL,2.164152145385742,1.2935909714159361e-15,3.0077404563528214e-7,25,17,16,298
SSCOSINE,STEP_SIZE_LIMIT,13.70135498046875,-4971.507268246488,1.4620286492473614e-5,226,221,204,4503
TESTQUAD,OPTIMAL,0.002980947494506836,1.9862942588532516e-23,5.582928659253505e-9,2,2,1,1
TOINTGSS,OPTIMAL,0.009756088256835938,9.9999999993598,6.298596925422543e-14,2,2,1,1
TQUARTIC,OPTIMAL,0.3074760437011719,1.5943745478435595e-21,1.1076054886007817e-8,14,12,10,92
TRIDIA,OPTIMAL,0.07095789909362793,1.1098474445904693e-25,6.76912083165054e-11,3,3,2,20
VARDIM,OPTIMAL,0.08247804641723633,2.62458831520767e-24,5.310873669652936e-9,30,30,29,29
VAREIGVL,OPTIMAL,242.86723685264587,6.073930220451521e-10,2.9579135299711507e-6,21,21,16,53
WOODS,OPTIMAL,2.1482131481170654,7.19449490230826e-26,2.8473710912723605e-12,89,52,49,745
SCURLY10,TRUST_REGION_SUBPROBLEM_ERROR,12550.148965120316,270775.69602917845,610832.498291066,33346,14779,14726,582356
SCURLY20,STEP_SIZE_LIMIT,17285.814112901688,-999755.2322728592,0.000199392184337669,25729,11394,11372,428875
SCURLY30,TIME_LIMIT,18000.7754,4.22E+10,1.48E+06,19884,8932,8799,322797
YATP1CLS,MEMORY_LIMIT,18000,2.54E+09,1.60E+07,1,1,1,1
YATP1LS,MEMORY_LIMIT,18000,2.54E+09,1.60E+07,1,1,1,1
YATP2CLS,MEMORY_LIMIT,18000,7.67E+09,750000,1,1,1,1
YATP2LS,MEMORY_LIMIT,18000,7.67E+09,750000,1,1,1,1
